title,description,category,priority,status,estimated_hours,dependency_count,issue_count,hours_since_update,hours_until_due,risk_level
Work Item 59,Operational work item for support,Support,LOW,DONE,74.34,0,5,116.0,231.34,MEDIUM
Work Item 60,Operational work item for development,Development,LOW,OPEN,68.39,4,4,22.91,65.9,MEDIUM
Work Item 61,Operational work item for operations,Operations,LOW,OPEN,39.34,1,0,47.36,202.92,LOW
Work Item 62,Operational work item for development,Development,MEDIUM,OPEN,74.47,5,7,25.07,161.73,HIGH
Work Item 63,Operational work item for inspection,Inspection,HIGH,OPEN,29.33,2,1,105.28,178.3,MEDIUM
Work Item 64,Operational work item for development,Development,MEDIUM,IN_PROGRESS,56.06,2,5,43.14,71.87,MEDIUM
Work Item 65,Operational work item for inspection,Inspection,MEDIUM,BLOCKED,64.94,2,1,104.05,219.35,HIGH
Work Item 66,Operational work item for inspection,Inspection,LOW,BLOCKED,41.4,0,3,95.8,156.69,HIGH
Work Item 67,Operational work item for development,Development,LOW,OPEN,56.46,5,3,106.39,8.57,HIGH
Work Item 68,Operational work item for development,Development,LOW,OPEN,46.73,5,2,55.87,131.15,MEDIUM
Work Item 69,Operational work item for development,Development,LOW,DONE,23.64,1,1,3.66,10.89,LOW
Work Item 70,Operational work item for inspection,Inspection,HIGH,DONE,65.99,5,2,15.25,126.29,MEDIUM
Work Item 71,Operational work item for inspection,Inspection,LOW,DONE,61.83,3,3,74.75,22.31,HIGH
Work Item 72,Operational work item for maintenance,Maintenance,HIGH,DONE,5.08,3,5,64.88,153.71,MEDIUM
Work Item 73,Operational work item for maintenance,Maintenance,LOW,IN_PROGRESS,58.36,4,1,61.96,78.86,LOW
Work Item 74,Operational work item for maintenance,Maintenance,HIGH,DONE,63.82,2,3,89.29,61.7,HIGH
Work Item 75,Operational work item for support,Support,MEDIUM,DONE,15.56,5,6,51.4,165.86,HIGH
Work Item 76,Operational work item for support,Support,HIGH,BLOCKED,5.6,1,0,53.08,59.07,MEDIUM
Work Item 77,Operational work item for operations,Operations,MEDIUM,DONE,8.42,0,7,112.15,153.91,MEDIUM
Work Item 78,Operational work item for maintenance,Maintenance,MEDIUM,IN_PROGRESS,41.82,4,5,87.6,13.36,HIGH
Work Item 79,Operational work item for operations,Operations,LOW,DONE,45.72,2,4,14.42,83.37,LOW
Work Item 80,Operational work item for support,Support,MEDIUM,OPEN,8.25,0,5,102.66,169.47,MEDIUM
Work Item 81,Operational work item for operations,Operations,LOW,IN_PROGRESS,38.46,1,1,58.99,114.69,LOW
Work Item 82,Operational work item for inspection,Inspection,HIGH,IN_PROGRESS,14.68,5,4,47.82,148.57,MEDIUM
Work Item 83,Operational work item for maintenance,Maintenance,HIGH,OPEN,51.17,1,3,44.95,150.95,MEDIUM
Work Item 84,Operational work item for maintenance,Maintenance,LOW,OPEN,40.75,0,7,79.04,40.78,HIGH
Work Item 85,Operational work item for operations,Operations,MEDIUM,DONE,6.57,1,0,104.06,153.46,LOW
Work Item 86,Operational work item for operations,Operations,LOW,IN_PROGRESS,64.27,3,1,68.8,32.58,MEDIUM
Work Item 87,Operational work item for operations,Operations,LOW,IN_PROGRESS,65.09,2,4,75.11,197.26,MEDIUM
Work Item 88,Operational work item for maintenance,Maintenance,MEDIUM,DONE,52.47,2,3,32.88,53.07,MEDIUM
Work Item 89,Operational work item for support,Support,MEDIUM,IN_PROGRESS,30.8,4,2,74.19,82.1,MEDIUM
Work Item 90,Operational work item for support,Support,MEDIUM,IN_PROGRESS,52.8,4,1,81.79,83.07,MEDIUM
Work Item 91,Operational work item for inspection,Inspection,MEDIUM,DONE,21.59,3,1,83.61,151.69,LOW
Work Item 92,Operational work item for operations,Operations,LOW,IN_PROGRESS,70.32,3,0,96.42,69.12,MEDIUM
Work Item 93,Operational work item for maintenance,Maintenance,HIGH,OPEN,15.02,0,7,96.82,237.74,HIGH
Work Item 94,Operational work item for support,Support,MEDIUM,OPEN,33.6,1,0,93.17,83.11,LOW
Work Item 95,Operational work item for support,Support,HIGH,DONE,74.53,4,3,51.48,180.71,HIGH
Work Item 96,Operational work item for operations,Operations,LOW,IN_PROGRESS,60.61,0,5,108.31,122.25,MEDIUM
Work Item 97,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,66.29,5,4,107.46,94.63,HIGH
Work Item 98,Operational work item for support,Support,LOW,DONE,1.86,0,2,10.95,78.0,LOW
Work Item 99,Operational work item for maintenance,Maintenance,HIGH,OPEN,76.05,3,2,59.16,21.82,HIGH
Work Item 100,Operational work item for operations,Operations,LOW,DONE,8.24,3,0,66.44,52.63,LOW
Work Item 101,Operational work item for maintenance,Maintenance,LOW,OPEN,75.75,0,6,10.94,119.67,LOW
Work Item 102,Operational work item for support,Support,MEDIUM,OPEN,5.55,1,4,88.44,131.93,MEDIUM
Work Item 103,Operational work item for inspection,Inspection,MEDIUM,OPEN,56.76,3,0,91.38,149.14,MEDIUM
Work Item 104,Operational work item for support,Support,LOW,IN_PROGRESS,8.99,5,4,26.71,96.4,LOW
Work Item 105,Operational work item for maintenance,Maintenance,LOW,IN_PROGRESS,71.46,1,4,61.6,57.51,MEDIUM
Work Item 106,Operational work item for development,Development,MEDIUM,OPEN,46.92,4,0,105.64,58.33,MEDIUM
Work Item 107,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,72.71,4,3,42.03,170.55,MEDIUM
Work Item 108,Operational work item for maintenance,Maintenance,LOW,DONE,39.05,3,5,84.61,61.2,MEDIUM
Work Item 109,Operational work item for operations,Operations,MEDIUM,DONE,27.09,5,2,30.44,98.44,LOW
Work Item 110,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,46.15,3,3,92.06,197.82,MEDIUM
Work Item 111,Operational work item for inspection,Inspection,LOW,DONE,59.79,2,4,28.5,97.25,LOW
Work Item 112,Operational work item for maintenance,Maintenance,HIGH,OPEN,38.74,0,7,63.4,105.85,MEDIUM
Work Item 113,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,64.37,4,7,66.72,78.8,HIGH
Work Item 114,Operational work item for operations,Operations,HIGH,IN_PROGRESS,4.43,4,2,110.29,62.21,HIGH
Work Item 115,Operational work item for maintenance,Maintenance,MEDIUM,DONE,55.94,0,1,19.95,53.6,LOW
Work Item 116,Operational work item for maintenance,Maintenance,HIGH,DONE,24.27,0,4,83.63,93.44,MEDIUM
Work Item 117,Operational work item for support,Support,HIGH,OPEN,59.23,2,3,115.04,15.77,HIGH
Work Item 118,Operational work item for maintenance,Maintenance,MEDIUM,IN_PROGRESS,32.17,3,4,33.29,46.77,MEDIUM
Work Item 119,Operational work item for inspection,Inspection,LOW,BLOCKED,37.63,1,3,70.04,20.5,HIGH
Work Item 120,Operational work item for development,Development,MEDIUM,OPEN,77.98,2,5,3.88,68.58,MEDIUM
Work Item 121,Operational work item for development,Development,LOW,DONE,33.49,4,3,32.51,33.7,LOW
Work Item 122,Operational work item for maintenance,Maintenance,LOW,DONE,7.02,5,1,50.0,140.32,LOW
Work Item 123,Operational work item for development,Development,LOW,IN_PROGRESS,73.61,1,7,105.2,133.28,HIGH
Work Item 124,Operational work item for support,Support,LOW,DONE,14.02,0,5,97.27,236.97,LOW
Work Item 125,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,12.88,4,1,45.71,232.84,LOW
Work Item 126,Operational work item for support,Support,LOW,OPEN,67.53,4,0,56.24,100.73,MEDIUM
Work Item 127,Operational work item for support,Support,LOW,DONE,22.6,5,3,97.55,239.93,MEDIUM
Work Item 128,Operational work item for support,Support,LOW,IN_PROGRESS,79.73,4,6,92.28,226.85,HIGH
Work Item 129,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,68.12,0,4,54.07,32.74,HIGH
Work Item 130,Operational work item for operations,Operations,HIGH,OPEN,76.37,4,3,27.44,161.86,HIGH
Work Item 131,Operational work item for development,Development,LOW,OPEN,49.83,3,6,13.63,161.83,MEDIUM
Work Item 132,Operational work item for operations,Operations,LOW,DONE,42.1,5,2,62.42,204.82,MEDIUM
Work Item 133,Operational work item for maintenance,Maintenance,MEDIUM,DONE,44.6,4,5,105.2,98.03,HIGH
Work Item 134,Operational work item for support,Support,MEDIUM,OPEN,11.59,4,4,76.72,193.6,HIGH
Work Item 135,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,72.35,3,1,42.07,142.4,MEDIUM
Work Item 136,Operational work item for support,Support,MEDIUM,IN_PROGRESS,31.99,2,2,108.5,84.88,LOW
Work Item 137,Operational work item for support,Support,MEDIUM,IN_PROGRESS,41.61,3,5,74.65,207.24,HIGH
Work Item 138,Operational work item for development,Development,MEDIUM,OPEN,76.01,3,1,111.19,119.12,HIGH
Work Item 139,Operational work item for operations,Operations,MEDIUM,DONE,21.4,4,1,74.5,84.68,MEDIUM
Work Item 140,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,17.52,2,7,40.99,129.87,MEDIUM
Work Item 141,Operational work item for operations,Operations,LOW,OPEN,37.35,2,5,83.72,44.86,HIGH
Work Item 142,Operational work item for development,Development,MEDIUM,IN_PROGRESS,56.02,0,2,104.92,124.63,LOW
Work Item 143,Operational work item for development,Development,MEDIUM,OPEN,77.88,4,1,26.86,197.59,MEDIUM
Work Item 144,Operational work item for maintenance,Maintenance,MEDIUM,DONE,28.26,1,4,3.82,132.59,LOW
Work Item 145,Operational work item for operations,Operations,MEDIUM,OPEN,43.22,3,1,107.31,32.64,HIGH
Work Item 146,Operational work item for maintenance,Maintenance,LOW,DONE,27.08,2,0,11.07,116.51,LOW
Work Item 147,Operational work item for maintenance,Maintenance,MEDIUM,OPEN,55.33,5,2,110.5,16.54,HIGH
Work Item 148,Operational work item for development,Development,LOW,OPEN,22.87,0,7,89.79,45.92,HIGH
Work Item 149,Operational work item for development,Development,MEDIUM,BLOCKED,17.54,5,5,74.19,89.8,HIGH
Work Item 150,Operational work item for maintenance,Maintenance,MEDIUM,IN_PROGRESS,37.54,4,1,4.4,62.08,LOW
Work Item 151,Operational work item for development,Development,MEDIUM,IN_PROGRESS,57.35,5,2,63.85,27.51,HIGH
Work Item 152,Operational work item for inspection,Inspection,LOW,IN_PROGRESS,36.35,2,2,29.1,66.08,LOW
Work Item 153,Operational work item for inspection,Inspection,HIGH,DONE,30.81,1,6,38.65,52.32,MEDIUM
Work Item 154,Operational work item for operations,Operations,MEDIUM,OPEN,26.87,3,0,106.86,143.28,LOW
Work Item 155,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,54.65,2,0,59.81,22.69,MEDIUM
Work Item 156,Operational work item for operations,Operations,MEDIUM,DONE,43.43,1,6,89.45,104.73,HIGH
Work Item 157,Operational work item for development,Development,HIGH,IN_PROGRESS,11.08,0,4,43.57,155.73,LOW
Work Item 158,Operational work item for operations,Operations,MEDIUM,BLOCKED,46.09,2,4,39.64,224.22,HIGH
Work Item 159,Operational work item for development,Development,MEDIUM,DONE,1.6,4,5,43.84,118.1,MEDIUM
Work Item 160,Operational work item for development,Development,HIGH,BLOCKED,68.21,5,5,96.7,15.25,HIGH
Work Item 161,Operational work item for support,Support,MEDIUM,BLOCKED,67.54,2,2,2.19,167.88,HIGH
Work Item 162,Operational work item for maintenance,Maintenance,MEDIUM,IN_PROGRESS,79.78,5,1,69.12,220.34,MEDIUM
Work Item 163,Operational work item for support,Support,LOW,OPEN,1.42,5,0,58.89,174.05,LOW
Work Item 164,Operational work item for operations,Operations,LOW,IN_PROGRESS,65.85,1,6,64.2,115.44,MEDIUM
Work Item 165,Operational work item for development,Development,LOW,OPEN,67.25,4,5,116.16,171.21,HIGH
Work Item 166,Operational work item for inspection,Inspection,MEDIUM,BLOCKED,16.76,3,0,63.58,170.32,MEDIUM
Work Item 167,Operational work item for development,Development,MEDIUM,IN_PROGRESS,61.65,5,4,60.73,223.82,HIGH
Work Item 168,Operational work item for development,Development,MEDIUM,OPEN,26.33,2,0,44.31,110.12,LOW
Work Item 169,Operational work item for inspection,Inspection,MEDIUM,BLOCKED,44.34,1,3,24.21,164.93,MEDIUM
Work Item 170,Operational work item for development,Development,HIGH,BLOCKED,7.94,4,0,91.23,143.76,HIGH
Work Item 171,Operational work item for support,Support,MEDIUM,DONE,38.25,2,5,12.8,204.47,LOW
Work Item 172,Operational work item for development,Development,MEDIUM,DONE,59.93,1,5,111.95,237.84,MEDIUM
Work Item 173,Operational work item for operations,Operations,MEDIUM,BLOCKED,17.2,2,2,111.17,173.74,HIGH
Work Item 174,Operational work item for support,Support,HIGH,IN_PROGRESS,4.8,4,7,99.35,180.62,HIGH
Work Item 175,Operational work item for support,Support,MEDIUM,OPEN,64.16,2,4,22.37,58.09,MEDIUM
Work Item 176,Operational work item for maintenance,Maintenance,MEDIUM,BLOCKED,51.07,5,3,37.94,142.02,HIGH
Work Item 177,Operational work item for operations,Operations,HIGH,DONE,54.96,5,7,55.52,73.73,HIGH
Work Item 178,Operational work item for operations,Operations,MEDIUM,DONE,60.06,0,0,42.64,95.17,LOW
Work Item 179,Operational work item for development,Development,MEDIUM,OPEN,43.02,4,7,27.48,131.2,HIGH
Work Item 180,Operational work item for inspection,Inspection,LOW,IN_PROGRESS,35.09,2,6,87.67,167.1,MEDIUM
Work Item 181,Operational work item for development,Development,LOW,IN_PROGRESS,14.17,4,0,64.02,214.75,LOW
Work Item 182,Operational work item for development,Development,LOW,BLOCKED,63.3,5,0,37.41,61.14,HIGH
Work Item 183,Operational work item for development,Development,LOW,DONE,59.77,5,3,68.39,183.47,MEDIUM
Work Item 184,Operational work item for inspection,Inspection,LOW,OPEN,70.26,0,5,98.55,28.33,HIGH
Work Item 185,Operational work item for support,Support,MEDIUM,OPEN,67.87,3,7,60.27,130.49,HIGH
Work Item 186,Operational work item for inspection,Inspection,LOW,OPEN,39.42,3,3,92.63,4.9,HIGH
Work Item 187,Operational work item for maintenance,Maintenance,MEDIUM,DONE,48.28,3,3,85.94,144.57,MEDIUM
Work Item 188,Operational work item for maintenance,Maintenance,HIGH,IN_PROGRESS,66.32,5,1,41.1,56.11,HIGH
Work Item 189,Operational work item for operations,Operations,LOW,IN_PROGRESS,34.46,1,5,73.79,219.02,LOW
Work Item 190,Operational work item for support,Support,HIGH,IN_PROGRESS,11.99,1,0,30.72,174.81,LOW
Work Item 191,Operational work item for operations,Operations,MEDIUM,OPEN,47.84,3,3,110.25,190.04,HIGH
Work Item 192,Operational work item for maintenance,Maintenance,HIGH,BLOCKED,2.82,1,0,69.15,146.4,MEDIUM
Work Item 193,Operational work item for inspection,Inspection,HIGH,OPEN,34.51,4,5,112.12,222.29,HIGH
Work Item 194,Operational work item for development,Development,HIGH,IN_PROGRESS,36.62,5,4,118.18,201.66,HIGH
Work Item 195,Operational work item for inspection,Inspection,MEDIUM,BLOCKED,10.85,0,0,104.39,125.48,MEDIUM
Work Item 196,Operational work item for maintenance,Maintenance,MEDIUM,DONE,47.71,4,6,6.57,81.78,MEDIUM
Work Item 197,Operational work item for operations,Operations,LOW,BLOCKED,64.43,4,1,40.02,96.76,HIGH
Work Item 198,Operational work item for operations,Operations,HIGH,BLOCKED,43.45,2,5,41.56,84.57,HIGH
Work Item 199,Operational work item for development,Development,MEDIUM,IN_PROGRESS,59.26,0,7,26.95,109.68,MEDIUM
Work Item 200,Operational work item for support,Support,MEDIUM,OPEN,12.13,0,6,19.86,10.06,MEDIUM
Work Item 201,Operational work item for development,Development,LOW,IN_PROGRESS,25.61,4,6,33.31,54.38,MEDIUM
Work Item 202,Operational work item for development,Development,LOW,DONE,17.8,0,6,117.06,111.24,LOW
Work Item 203,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,45.03,5,3,64.21,45.9,HIGH
Work Item 204,Operational work item for operations,Operations,HIGH,OPEN,24.67,4,5,90.0,51.96,HIGH
Work Item 205,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,71.95,5,4,75.0,91.9,HIGH
Work Item 206,Operational work item for inspection,Inspection,LOW,DONE,67.09,2,1,35.29,171.95,LOW
Work Item 207,Operational work item for development,Development,LOW,IN_PROGRESS,42.68,5,3,57.73,120.29,MEDIUM
Work Item 208,Operational work item for support,Support,MEDIUM,IN_PROGRESS,61.46,3,0,40.12,19.97,HIGH
Work Item 209,Operational work item for maintenance,Maintenance,LOW,DONE,60.51,1,1,107.69,127.33,LOW
Work Item 210,Operational work item for support,Support,MEDIUM,IN_PROGRESS,64.26,3,7,85.92,158.82,HIGH
Work Item 211,Operational work item for support,Support,LOW,DONE,3.14,2,7,23.53,122.31,LOW
Work Item 212,Operational work item for maintenance,Maintenance,MEDIUM,IN_PROGRESS,48.01,0,6,68.33,213.22,MEDIUM
Work Item 213,Operational work item for development,Development,LOW,BLOCKED,44.98,1,2,29.18,173.9,MEDIUM
Work Item 214,Operational work item for development,Development,MEDIUM,OPEN,68.6,2,7,47.66,161.0,HIGH
Work Item 215,Operational work item for inspection,Inspection,MEDIUM,IN_PROGRESS,17.19,1,6,75.99,177.15,MEDIUM
Work Item 216,Operational work item for maintenance,Maintenance,LOW,OPEN,68.0,4,2,69.96,102.3,MEDIUM
Work Item 217,Operational work item for development,Development,LOW,IN_PROGRESS,71.52,4,3,40.3,198.38,MEDIUM
Work Item 218,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,29.68,3,3,74.9,99.44,MEDIUM
Work Item 219,Operational work item for support,Support,LOW,BLOCKED,44.61,1,4,35.34,227.73,MEDIUM
Work Item 220,Operational work item for maintenance,Maintenance,LOW,OPEN,61.32,0,1,67.89,236.52,LOW
Work Item 221,Operational work item for maintenance,Maintenance,LOW,BLOCKED,38.21,0,1,2.7,65.95,LOW
Work Item 222,Operational work item for support,Support,LOW,BLOCKED,43.79,4,0,30.95,35.17,HIGH
Work Item 223,Operational work item for operations,Operations,MEDIUM,DONE,66.96,3,1,63.08,42.86,HIGH
Work Item 224,Operational work item for maintenance,Maintenance,MEDIUM,DONE,22.51,2,5,109.72,30.02,HIGH
Work Item 225,Operational work item for support,Support,LOW,IN_PROGRESS,46.54,5,1,66.5,157.04,LOW
Work Item 226,Operational work item for support,Support,LOW,IN_PROGRESS,66.55,4,1,16.8,64.76,LOW
Work Item 227,Operational work item for support,Support,LOW,OPEN,22.05,2,7,30.09,152.68,LOW
Work Item 228,Operational work item for development,Development,MEDIUM,OPEN,40.05,1,4,100.57,98.24,MEDIUM
Work Item 229,Operational work item for support,Support,LOW,OPEN,61.9,5,7,42.46,230.15,HIGH
Work Item 230,Operational work item for maintenance,Maintenance,MEDIUM,IN_PROGRESS,15.57,4,3,92.52,18.24,HIGH
Work Item 231,Operational work item for development,Development,HIGH,OPEN,67.13,2,7,109.86,173.72,HIGH
Work Item 232,Operational work item for development,Development,LOW,OPEN,49.22,5,1,47.6,229.07,LOW
Work Item 233,Operational work item for inspection,Inspection,LOW,IN_PROGRESS,11.67,0,1,3.74,64.42,LOW
Work Item 234,Operational work item for support,Support,LOW,DONE,48.01,2,0,59.56,144.05,LOW
Work Item 235,Operational work item for operations,Operations,LOW,OPEN,27.41,1,1,12.79,19.88,LOW
Work Item 236,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,58.53,0,4,82.61,105.49,MEDIUM
Work Item 237,Operational work item for development,Development,LOW,IN_PROGRESS,20.47,2,1,95.93,167.34,LOW
Work Item 238,Operational work item for operations,Operations,HIGH,OPEN,22.5,1,3,43.32,23.8,MEDIUM
Work Item 239,Operational work item for operations,Operations,HIGH,IN_PROGRESS,73.47,4,0,114.03,108.15,HIGH
Work Item 240,Operational work item for inspection,Inspection,LOW,DONE,15.63,5,7,104.75,176.27,HIGH
Work Item 241,Operational work item for maintenance,Maintenance,HIGH,OPEN,64.72,4,5,76.47,235.38,HIGH
Work Item 242,Operational work item for maintenance,Maintenance,LOW,OPEN,72.37,3,6,83.18,14.28,HIGH
Work Item 243,Operational work item for inspection,Inspection,LOW,OPEN,53.92,1,7,111.03,44.98,HIGH
Work Item 244,Operational work item for development,Development,MEDIUM,IN_PROGRESS,45.87,1,6,4.07,167.99,LOW
Work Item 245,Operational work item for support,Support,LOW,OPEN,24.49,1,2,113.31,114.86,LOW
Work Item 246,Operational work item for maintenance,Maintenance,MEDIUM,IN_PROGRESS,69.1,2,1,62.69,155.4,MEDIUM
Work Item 247,Operational work item for operations,Operations,HIGH,BLOCKED,52.36,2,3,14.47,20.31,HIGH
Work Item 248,Operational work item for development,Development,MEDIUM,DONE,56.01,1,6,48.54,138.24,MEDIUM
Work Item 249,Operational work item for maintenance,Maintenance,LOW,OPEN,64.51,3,4,79.4,177.61,HIGH
Work Item 250,Operational work item for inspection,Inspection,HIGH,DONE,42.09,4,1,105.2,101.37,HIGH
Work Item 251,Operational work item for operations,Operations,LOW,BLOCKED,37.49,1,5,0.03,46.14,MEDIUM
Work Item 252,Operational work item for support,Support,MEDIUM,IN_PROGRESS,31.33,2,2,119.75,85.47,LOW
Work Item 253,Operational work item for support,Support,MEDIUM,IN_PROGRESS,61.61,4,5,57.59,151.35,HIGH
Work Item 254,Operational work item for operations,Operations,MEDIUM,DONE,70.02,0,1,11.0,82.06,LOW
Work Item 255,Operational work item for operations,Operations,MEDIUM,IN_PROGRESS,42.28,0,5,0.4,113.22,LOW
Work Item 256,Operational work item for support,Support,LOW,IN_PROGRESS,24.46,1,3,85.87,142.21,LOW
Work Item 257,Operational work item for maintenance,Maintenance,MEDIUM,OPEN,22.9,4,5,5.41,28.05,MEDIUM
